Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
KBCR.GOV,Independent Intrastate,Non-Federal Agency,Tri-County Airport Authority,Bonifay,FL,rstatham@tricountyairportfl.com
KSVOTERINFO.GOV,Independent Intrastate,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
LASCHOOLPOLICE.GOV,Independent Intrastate,Non-Federal Agency,Los Angeles School Police Department,Los Angeles,CA,jtaylor@laspd.com
LAWRENCECOUNTYMO911.GOV,Independent Intrastate,Non-Federal Agency,Lawrence County Emergency Services Board 9-1-1,Mt. Vernon,MO,bwittschulte@lawrencecountymo911.gov
LCEMSAMI.GOV,Independent Intrastate,Non-Federal Agency,Lake Charlevoix Emergency Service Authority,Charlevoix,MI,domainadmin@charlevoixmi.gov
LCFWASA.GOV,Independent Intrastate,Non-Federal Agency,Lower Cape Fear Water and Sewer Authority,Leland,NC,security@lcfwasa.org
LEONPA.GOV,Independent Intrastate,Non-Federal Agency,Leon County Property Appraiser,Tallahassee,FL,itdept2@leonpa.org
LINCOLNSHIREFDIL.GOV,Independent Intrastate,Non-Federal Agency,Lincolnshire-Riverwoods Fire Protection District,Lincolnshire,IL,cyber@lrfpd.org
LINDENLIBRARY-NJ.GOV,Independent Intrastate,Non-Federal Agency,Linden Free Public Library,Linden,NJ,security@teliapp.com
LOGANHEALTHOHIO.GOV,Independent Intrastate,Non-Federal Agency,Logan County Health District,Bellefontaine,OH,lchd@logancountyohio.gov
LORAINCOUNTYRECORDER.GOV,Independent Intrastate,Non-Federal Agency,Lorain County Recorder's Office,Elyria,OH,lcrecorder@loraincounty.us
LPCD-LAFLA.GOV,Independent Intrastate,Non-Federal Agency,LAFAYETTE PARISH COMMUNICATION DISTRICT,LAFAYETTE,LA,cterpening@lafayettela.gov
LPCDOPS-LAFLA.GOV,Independent Intrastate,Non-Federal Agency,LAFAYETTE PARISH COMMUNICATION DISTRICT,LAFAYETTE,LA,cterpening@lafayettela.gov
MANATEEPAO.GOV,Independent Intrastate,Non-Federal Agency,Manatee County Property Appraiser,Bradenton,FL,paoit@manateepao.com
MARTINVOTES.GOV,Independent Intrastate,Non-Federal Agency,Martin County Supervisor of Elections,Stuart,FL,elections@martonvotes.com
MASONCOUNTYWAELECTIONS.GOV,Independent Intrastate,Non-Federal Agency,Mason County Auditor,Shelton,WA,elections@masoncountywa.gov
MASSAUDITOR.GOV,Independent Intrastate,Non-Federal Agency,Massachusetts Office of the State Auditor,Boston,MA,securityteam@sao.state.ma.us
MBTAADVISORYBOARD.GOV,Independent Intrastate,Non-Federal Agency,MBTA Advisory Board,Boston,MA,dobrien@mbtaadvisoryboard.org
MCAPS-MN.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Counties Computer Cooperative (MnCCC),St. Paul,MN,brian@bravenorthtech.com
MCKINNEYISDTX.GOV,Independent Intrastate,Non-Federal Agency,McKinney Independent School District,McKinney,TX,abuse@mckinneyisd.net
MESQUITEGCD.GOV,Independent Intrastate,Non-Federal Agency,Mesquite Groundwater Conservation District,Wellington,TX,mgcdtech01@gmail.com
MGCLERCOH.GOV,Independent Intrastate,Non-Federal Agency,Montgomery Greene County Local Emergency Response Council (MGCLERC),Dayton,OH,bcchelp@mcohio.org
MILCROFTON.GOV,Independent Intrastate,Non-Federal Agency,Milcrofton Utility District,Franklin,TN,info@milcrofton.com
MINNESOTAHEALTHCARECONSORTIUM.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Healthcare Consortium,Mt. Iron,MN,support@nescmn.net
MNCCC.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Counties Computer Cooperative (MnCCC),St. Paul,MN,brian@bravenorthtech.com
MNDISABILITY.GOV,Independent Intrastate,Non-Federal Agency,MN Governor's Council on Developmental Disabilities,St. Paul,MN,(blank)
MNHC.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Healthcare Consortium,Mt. Iron,MN,support@nescmn.net
MNHOUSING.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Housing Finance Agency,St. Paul,MN,(blank)
MNPRAIRIE.GOV,Independent Intrastate,Non-Federal Agency,Minnesota Prairie County Alliance,Mantorville,MN,helpdesk@mnprairie.org
MRCOG-NM.GOV,Independent Intrastate,Non-Federal Agency,Mid-Region Council of Governments,Albuquerque,NM,(blank)
MSDPROJECTCLEARMO.GOV,Independent Intrastate,Non-Federal Agency,Metropolitan St. Louis Sewer District,St. Louis,MO,DLInfoSec@stlmsd.com
MURPHYSFIRE.GOV,Independent Intrastate,Non-Federal Agency,Murphys Fire Protection District,Murphys,CA,scottk96@icloud.com
NASHUARPC.GOV,Independent Intrastate,Non-Federal Agency,Nashua Regional Planning Commission,Nashua,NH,ITAdmin@nashuarpc.org
NCBON.GOV,Independent Intrastate,Non-Federal Agency,North Carolina Board of Nursing,Raleigh,NC,support@suryatechnologies.com
NEMO911.GOV,Independent Intrastate,Non-Federal Agency,Marion County Emergency Services,Hannibal,MO,domainsecurity@nemo911.com
NSBUFL.GOV,Independent Intrastate,Non-Federal Agency,"Utilities Commission, City of New Smyrna Beach, Florida",New Smyrna Beach,FL,jmichel@ucnsb.org
NWFDAZ.GOV,Independent Intrastate,Non-Federal Agency,Northwest Fire District,Tucson,AZ,rdutcher@nwfdaz.gov
NYPA.GOV,Independent Intrastate,Non-Federal Agency,New York Power Authority,White Plains,NY,cyberalert@nypa.gov
NYSTRS.GOV,Independent Intrastate,Non-Federal Agency,New York State Teachers' Retirement System,Albany,NY,securityadmins@nystrs.org
OBIONCOUNTYTN911.GOV,Independent Intrastate,Non-Federal Agency,Obion County Emergency Communications District (E-911),Union City,TN,support@geoconex.com
OCASSESSOR.GOV,Independent Intrastate,Non-Federal Agency,Orange County Assessor Department,Orange,CA,security@asr.ocgov.com
OCFELECTIONS.GOV,Independent Intrastate,Non-Federal Agency,Orange County Florida Supervisor of Elections,Orlando,FL,daniel.reis@ocfelections.gov
OCPRINTGRAPHICS.GOV,Independent Intrastate,Non-Federal Agency,Orange County Registrar of Voters,Santa Ana,CA,rovwebmaster@rov.ocgov.com
OCSAN.GOV,Independent Intrastate,Non-Federal Agency,Orange County Sanitation District ,Fountain Valley,CA,ITSecurityAlerts@OCSD.COM
OCVOTE.GOV,Independent Intrastate,Non-Federal Agency,Orange County Registrar of  Voters,Santa Ana,CA,rovwebmaster@rov.ocgov.com
OMAG.GOV,Independent Intrastate,Non-Federal Agency,Oklahoma Municipal Assurance Group,Edmond,OK,abuse@omag.org
OPC-DC.GOV,Independent Intrastate,Non-Federal Agency,Office of the People's Counsel,Washington,DC,atlee@opc-dc.gov
OSRDMO.GOV,Independent Intrastate,Non-Federal Agency,Ozark Special Road District,Ozark,MO,(blank)
OTAYWATER.GOV,Independent Intrastate,Non-Federal Agency,Otay Water District,Spring Valley,CA,mk@otaywater.gov
OTPDVI.GOV,Independent Intrastate,Non-Federal Agency,Office of the Territorial Public Defender,St. Thomas,VI,peter.mitchell@otpd.vi.gov
PASLC.GOV,Independent Intrastate,Non-Federal Agency,Saint Lucie County Property Appraiser,Fort Pierce,FL,helpdesk@paslc.org
PBCPAO.GOV,Independent Intrastate,Non-Federal Agency,Palm Beach County Property Appraiser's Office,West Palm Beach,FL,pa-admins@pbcgov.org
PCPAO.GOV,Independent Intrastate,Non-Federal Agency,Pinellas County Property Appraiser,Clearwater,FL,webmaster@pcpao.org
PERMARISK.GOV,Independent Intrastate,Non-Federal Agency,Public Entity Risk Management Authority,Palm Desert,CA,info@perma.dst.ca.us
PORTHOUSTON.GOV,Independent Intrastate,Non-Federal Agency,Port of Houston Authority,Houston,TX,(blank)
PORTOFCATESLANDINGTN.GOV,Independent Intrastate,Non-Federal Agency,Northwest Tennessee Regional Port Authority,Tiptonville,TN,aztec2211@gmail.com
PORTOFEDMONDS.GOV,Independent Intrastate,Non-Federal Agency,Port of Edmonds,Edmonds,WA,ITsecurity@portofedmonds.org
PORTOFEPHRATA.GOV,Independent Intrastate,Non-Federal Agency,Port of Ephrata,EPHRATA,WA,office@portofephrata.com
PRISMRISK.GOV,Independent Intrastate,Non-Federal Agency,"Public Risk Innovation, Solutions, and Management",Folsom,CA,tpelster@prismrisk.gov
PRWID.GOV,Independent Intrastate,Non-Federal Agency,Price River Water Improvement District,Price,UT,security@prwid.com
PSCLEANAIR.GOV,Independent Intrastate,Non-Federal Agency,Puget Sound Clean Air Agency,Seattle,WA,(blank)
RESOURCECOOP-MN.GOV,Independent Intrastate,Non-Federal Agency,Resource Training and Solutions,Sartell,MN,security@resourcetraining.com
RITAOHIO.GOV,Independent Intrastate,Non-Federal Agency,Regional Income Tax Agency,Brecksville,OH,security@ritaohio.com
SCAQMD.GOV,Independent Intrastate,Non-Federal Agency,South Coast Air Quality Management District,Diamond Bar,CA,(blank)
SEMRECC.GOV,Independent Intrastate,Non-Federal Agency,Southeastern Massachusetts Regional 911 District,Foxborough,MA,info@se-mass911.org
SMITHSSTATIONAL-FPD.GOV,Independent Intrastate,Non-Federal Agency,Smiths Station Fire Protection District,Smiths Station,AL,sexton@smithsstational-fpd.gov
SNOWSHOEDISTRICTWV.GOV,Independent Intrastate,Non-Federal Agency,Snowshoe Resort Community District,Snowshoe,WV,(blank)
SOPEC-OH.GOV,Independent Intrastate,Non-Federal Agency,Southeast Ohio Public Energy Council,Athens,OH,lsulfridge@sopec-oh.gov
SOUTHCOASTAQMD.GOV,Independent Intrastate,Non-Federal Agency,aqmd,Diamond Bar,CA,(blank)
SOUTHMARENGOAL.GOV,Independent Intrastate,Non-Federal Agency,South Marengo County Water and Fire Protection Authority,Linden,AL,office@southmarengo.com
SOUTHPLATTERENEWCO.GOV,Independent Intrastate,Non-Federal Agency,South Platte Renew,Englewood,CO,kallard@englewoodco.gov
SOUTHWESTKANSASLIBRARYSYSTEM.GOV,Independent Intrastate,Non-Federal Agency,Southwest Kansas Library System,Dodge City,KS,sandrews@swkls.org
SRCPA.GOV,Independent Intrastate,Non-Federal Agency,Santa Rosa County Property Appraiser,Milton,FL,security@srcpa.org
SRP.GOV,Independent Intrastate,Non-Federal Agency,Salt River Project,Phoenix,AZ,cybersecurity@srpnet.com
STCHARLESCOUNTYCSFAMO.GOV,Independent Intrastate,Non-Federal Agency,St. Charles County Convention & Sports Facilities Authority,St. Charles,MO,paulfwoody@gmail.com
STLUCIECLERK.GOV,Independent Intrastate,Non-Federal Agency,St. Lucie County Clerk & Comptroller,Fort Pierce,FL,security@stlucieclerk.com
STONEWALLWCIDTX.GOV,Independent Intrastate,Non-Federal Agency,Stonewall WCID,Stonewall,TX,Stonewall-WCID@Outlook.com
SUMMITCOUNTYBOE.GOV,Independent Intrastate,Non-Federal Agency,Summit County Board of Elections,Akron,OH,it@summitcountyboe.gov
SWA-IL.GOV,Independent Intrastate,Non-Federal Agency,Southland Water Agency,South Holland,IL,Security@southholland.org
SWCLEANAIR.GOV,Independent Intrastate,Non-Federal Agency,Southwest Clean Air Agency,Vancouver,WA,chip@swcleanair.org
SWOCAOH.GOV,Independent Intrastate,Non-Federal Agency,SouthWest Ohio Computer Association COG,Hamilton,OH,net@swoca.net
TBLD.GOV,Independent Intrastate,Non-Federal Agency,Tensas Basin Levee District,Monroe,LA,jason.mcmillin@la.gov
TECHSHARETX.GOV,Independent Intrastate,Non-Federal Agency,TechShare Local Government Corporation,Austin,TX,it.helpdesk@cuc.org
TEXASCOUNTYMO911.GOV,Independent Intrastate,Non-Federal Agency,Texas County Emergency Services,Houston,MO,kdrake@cbs-solutions.com
THA.GOV,Independent Intrastate,Non-Federal Agency,Topeka Housing Authority,Topeka,KS,(blank)
THPRD.GOV,Independent Intrastate,Non-Federal Agency,Tualatin Hills Park & Recreation District,Beaverton,OR,InformationServices@thprd.org
TOOELECOUNTYVOTES.GOV,Independent Intrastate,Non-Federal Agency,Tooele County,Tooele,UT,smcdonald@tooeleco.org
TRICOUNTYCONSERVANCY-IN.GOV,Independent Intrastate,Non-Federal Agency,Tri County Conservancy District,Plainfield,IN,(blank)
UTAHTRUST.GOV,Independent Intrastate,Non-Federal Agency,Utah Local Governments Trust,North Salt Lake,UT,info@utahtrust.gov
UTLEG.GOV,Independent Intrastate,Non-Federal Agency,Utah State Legislature,Salt Lake City,UT,security@le.utah.gov
VOLUSIAELECTIONS.GOV,Independent Intrastate,Non-Federal Agency,Volusia County Supervisor of Elections Office,DeLand,FL,(blank)
VOLUSIASHERIFF.GOV,Independent Intrastate,Non-Federal Agency,Volusia County Sheriff's Office,Deland,FL,it@volusiasheriff.org
VOLUSIAVOTES.GOV,Independent Intrastate,Non-Federal Agency,Volusia County Supervisor of Elections Office,DeLand,FL,elections@volusia.org
VOTECALHOUNFL.GOV,Independent Intrastate,Non-Federal Agency,Calhoun County Supervisor of Elections,Blountstown,FL,soe@votecalhoun.com
VOTECOLUMBIAFL.GOV,Independent Intrastate,Non-Federal Agency,Columbia County Supervisor of Elections,Lake City,FL,kbanner@votecolumbia.com
VOTEINDIANRIVER.GOV,Independent Intrastate,Non-Federal Agency,Indian River County Supervisor of Elections,Vero Beach,FL,dcruz@voteindianriver.com
VOTEKS.GOV,Independent Intrastate,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
VOTENASSAUFL.GOV,Independent Intrastate,Non-Federal Agency,Nassau County Supervisor of Elections,Yulee,FL,it@votenassaufl.gov
VOTESEMINOLE.GOV,Independent Intrastate,Non-Federal Agency,Seminole County Supervisor of Elections,Sanford,FL,security@voteseminole.org
VOTEWALTON.GOV,Independent Intrastate,Non-Federal Agency,Walton County Supervisor of Elections,DeFuniak Springs,FL,websupport@vrsystems.com
WATERVILLE-ESTATESNH.GOV,Independent Intrastate,Non-Federal Agency,Waterville Estates Village District,Campton,NH,wea.judy@waterville-estates.com
WCNYH.GOV,Independent Intrastate,Non-Federal Agency,Waterfront Commission of New York Harbor,New York,NY,DMurillo@wcnyh.gov
WEBER911.GOV,Independent Intrastate,Non-Federal Agency,Weber Area 911 Dispatch,Ogden,UT,ithelp@weber911.org
WHITECOUNTYTNVOTES.GOV,Independent Intrastate,Non-Federal Agency,White County Election Commission,Sparta,TN,(blank)
YAVAPAIVOTES.GOV,Independent Intrastate,Non-Federal Agency,County of Yavapai ITS,Prescott,AZ,luke.singer@yavapaiaz.gov
YLWD.GOV,Independent Intrastate,Non-Federal Agency,Yorba Linda Water District,Placentia,CA,it@ylwd.com
